folio_ageb,entidad,alcaldia,localidad,pob,tot_pobres,IDSM,E_IDS_V
9.01302E+11,9,13,181,271,254,0.670953,Muy bajo
9.01201E+11,9,12,128,25,25,0.6712706,Muy bajo
9.01203E+11,9,12,337,10,10,0.6712738,Muy bajo
9.00801E+11,9,8,112,115,107,0.6725368,Muy bajo
9.01101E+11,9,11,148,268,262,0.6725738,Muy bajo
9.01302E+11,9,13,204,54,52,0.6727167,Muy bajo
9.013E+11,9,13,1,6972,6453,0.6727439,Muy bajo
9.01102E+11,9,11,159,260,243,0.6735003,Muy bajo
9.01203E+11,9,12,346,156,147,0.6737885,Muy bajo
9.01302E+11,9,13,239,232,224,0.6738855,Muy bajo
9.01301E+11,9,13,118,279,264,0.673986,Muy bajo
9.012E+11,9,12,26,2523,2423,0.6740206,Muy bajo
9.00904E+11,9,9,385,9,9,0.6741056,Muy bajo
9.01102E+11,9,11,162,90,89,0.6743124,Muy bajo
9.01101E+11,9,11,71,301,289,0.6744771,Muy bajo
9.009E+11,9,9,46,389,375,0.6749334,Muy bajo
9.00904E+11,9,9,365,37,35,0.6749626,Muy bajo
9.01303E+11,9,13,261,36,35,0.6750175,Muy bajo
9.01202E+11,9,12,198,18,17,0.6751549,Muy bajo
9.00902E+11,9,9,246,140,131,0.6755081,Muy bajo
9.01101E+11,9,11,146,53,52,0.675715,Muy bajo
9.00903E+11,9,9,318,93,92,0.6770576,Muy bajo
9.01302E+11,9,13,193,38,37,0.6771164,Muy bajo
9.01101E+11,9,11,119,178,173,0.6772758,Muy bajo
9.00903E+11,9,9,281,27,27,0.6775582,Muy bajo
9.00902E+11,9,9,174,232,224,0.6781141,Muy bajo
9.00902E+11,9,9,233,166,158,0.6781719,Muy bajo
9.00902E+11,9,9,224,205,203,0.678623,Muy bajo
9.01303E+11,9,13,284,75,73,0.6786908,Muy bajo
9.00903E+11,9,9,297,384,364,0.6792499,Muy bajo
9.01302E+11,9,13,164,39,34,0.6794823,Muy bajo
9.00904E+11,9,9,354,87,85,0.6794962,Muy bajo
9.01101E+11,9,11,140,1431,1398,0.6799691,Muy bajo
9.00903E+11,9,9,289,72,71,0.6800841,Muy bajo
9.00903E+11,9,9,303,183,174,0.6804189,Muy bajo
9.00903E+11,9,9,344,74,67,0.6810303,Muy bajo
9.01301E+11,9,13,140,148,141,0.68126,Muy bajo
9.01302E+11,9,13,213,128,118,0.6816161,Muy bajo
9.012E+11,9,12,26,2975,2810,0.6817523,Muy bajo
9.013E+11,9,13,1,4545,4256,0.6818645,Muy bajo
9.01202E+11,9,12,210,65,65,0.6820917,Muy bajo
9.013E+11,9,13,1,913,850,0.6823275,Muy bajo
9.00902E+11,9,9,235,88,82,0.682439,Muy bajo
9.01101E+11,9,11,94,18,18,0.682815,Muy bajo
9.017E+11,9,17,1,353,316,0.6828437,Muy bajo
9.01204E+11,9,12,393,311,296,0.6831021,Muy bajo
9.00902E+11,9,9,229,20,20,0.683283,Muy bajo
9.00901E+11,9,9,77,195,186,0.6834127,Muy bajo
9.01303E+11,9,13,276,37,35,0.6835001,Muy bajo
9.01302E+11,9,13,238,40,40,0.6835159,Muy bajo
9.00902E+11,9,9,216,98,79,0.6835181,Muy bajo
9.013E+11,9,13,1,2470,2382,0.6836016,Muy bajo
9.005E+11,9,5,1,6,6,0.6838957,Muy bajo
9.01202E+11,9,12,187,270,259,0.6841977,Muy bajo
9.00901E+11,9,9,56,110,105,0.6842477,Muy bajo
9.00903E+11,9,9,319,66,65,0.6847509,Muy bajo
9.00903E+11,9,9,316,301,291,0.685773,Muy bajo
9.00903E+11,9,9,342,121,115,0.6860074,Muy bajo
9.01202E+11,9,12,216,233,219,0.6860649,Muy bajo
9.01302E+11,9,13,185,31,27,0.6861298,Muy bajo
9.01203E+11,9,12,268,7,7,0.6864305,Muy bajo
9.01202E+11,9,12,161,820,772,0.6870191,Muy bajo
9.01303E+11,9,13,257,339,301,0.6873726,Muy bajo
9.01203E+11,9,12,295,16,16,0.68784,Muy bajo
9.01101E+11,9,11,128,101,95,0.6878512,Muy bajo
9.01302E+11,9,13,234,179,172,0.6886325,Muy bajo
9.00801E+11,9,8,113,6,6,0.68872,Muy bajo
9.01203E+11,9,12,319,20,17,0.6888739,Muy bajo
9.015E+11,9,15,1,1949,1766,0.6895535,Muy bajo
9.017E+11,9,17,1,1951,1764,0.6897671,Muy bajo
9.013E+11,9,13,1,929,848,0.6902978,Muy bajo
9.01202E+11,9,12,246,4,4,0.6903081,Muy bajo
9.01301E+11,9,13,113,10,10,0.6903166,Muy bajo
9.011E+11,9,11,1,1913,1773,0.690378,Muy bajo
9.00901E+11,9,9,139,165,146,0.690378,Muy bajo
9.00903E+11,9,9,310,58,55,0.6904147,Muy bajo
9.00904E+11,9,9,388,77,77,0.6905636,Muy bajo
9.01203E+11,9,12,333,20,18,0.6907735,Muy bajo
9.00901E+11,9,9,120,235,222,0.6907793,Muy bajo
9.007E+11,9,7,1,1759,1490,0.6908411,Muy bajo
9.00902E+11,9,9,211,123,110,0.6910907,Muy bajo
9.007E+11,9,7,1,6147,5758,0.691137,Muy bajo
9.01303E+11,9,13,273,574,556,0.6915341,Muy bajo
9.00903E+11,9,9,317,224,217,0.6915654,Muy bajo
9.01301E+11,9,13,137,266,254,0.691626,Muy bajo
9.00903E+11,9,9,265,107,90,0.6916721,Muy bajo
9.01203E+11,9,12,282,924,868,0.691964,Muy bajo
9.00904E+11,9,9,363,30,24,0.6919693,Muy bajo
9.008E+11,9,8,1,6157,5746,0.6922361,Muy bajo
9.00901E+11,9,9,84,156,150,0.6925088,Muy bajo
9.007E+11,9,7,1,3543,3366,0.6929762,Muy bajo
9.00903E+11,9,9,286,1,1,0.6936712,Muy bajo
9.01204E+11,9,12,418,54,53,0.6939704,Muy bajo
